model,condition,accuracy,macro_f1
RandomForest_hog_color_texture,clean,0.8491358024691358,0.8388189923196183
SVM_hog_color_texture,clean,0.8760493827160494,0.8709670710763457
XGBoost_hog_color_texture,clean,0.908641975308642,0.9046526109912941
RandomForest_hog_color_texture,blur_low,0.5585185185185185,0.49973622754948577
SVM_hog_color_texture,blur_low,0.46,0.4192886840904969
XGBoost_hog_color_texture,blur_low,0.5508641975308642,0.5083335354992158
RandomForest_hog_color_texture,blur_high,0.2679012345679012,0.15498371290850838
SVM_hog_color_texture,blur_high,0.12123456790123457,0.04031163738900545
XGBoost_hog_color_texture,blur_high,0.21975308641975308,0.14050831379786397
RandomForest_hog_color_texture,noise_low,0.2730864197530864,0.17031545315255422
SVM_hog_color_texture,noise_low,0.12962962962962962,0.10032329773203844
XGBoost_hog_color_texture,noise_low,0.274320987654321,0.20975421275636763
RandomForest_hog_color_texture,noise_high,0.11234567901234568,0.02265382588841403
SVM_hog_color_texture,noise_high,0.1111111111111111,0.02
XGBoost_hog_color_texture,noise_high,0.11135802469135803,0.020536360325935317
RandomForest_hog_color_texture,downsample_2x,0.5896296296296296,0.5396253973561396
SVM_hog_color_texture,downsample_2x,0.5246913580246914,0.48232104421133126
XGBoost_hog_color_texture,downsample_2x,0.5792592592592593,0.5406564058024451
RandomForest_hog_color_texture,downsample_4x,0.4032098765432099,0.33625321043219814
SVM_hog_color_texture,downsample_4x,0.19407407407407407,0.13241377539550567
XGBoost_hog_color_texture,downsample_4x,0.3622222222222222,0.31277340730948827
CNN_aug,clean,0.9703703703703703,0.9694811251697821
CNN_aug,blur_low,0.3671604938271605,0.3061793566146112
CNN_aug,blur_high,0.1891358024691358,0.07192619064503201
CNN_aug,noise_low,0.4024691358024691,0.35103359956054314
CNN_aug,noise_high,0.1380246913580247,0.060759566646697016
CNN_aug,downsample_2x,0.4138271604938272,0.35199275880863984
CNN_aug,downsample_4x,0.21160493827160493,0.0758711341640127
CNN_noaug,clean,0.971358024691358,0.9703064056652508
CNN_noaug,blur_low,0.41185185185185186,0.35455529562536225
CNN_noaug,blur_high,0.17185185185185184,0.07518890315468803
CNN_noaug,noise_low,0.2328395061728395,0.18235278187761958
CNN_noaug,noise_high,0.11283950617283951,0.023696081047539917
CNN_noaug,downsample_2x,0.4595061728395062,0.40939951618059645
CNN_noaug,downsample_4x,0.2145679012345679,0.08824580702959109
ResNet18_aug,clean,0.9804938271604938,0.9795931816176126
ResNet18_aug,blur_low,0.5177777777777778,0.46839114773251966
ResNet18_aug,blur_high,0.20962962962962964,0.06935479147141518
ResNet18_aug,noise_low,0.16765432098765432,0.11209052072012035
ResNet18_aug,noise_high,0.1111111111111111,0.02
ResNet18_aug,downsample_2x,0.5612345679012346,0.5070225323165992
ResNet18_aug,downsample_4x,0.2454320987654321,0.12950489096808032
ResNet18_noaug,clean,0.9804938271604938,0.9796696024749607
ResNet18_noaug,blur_low,0.46469135802469136,0.41657679312776397
ResNet18_noaug,blur_high,0.1111111111111111,0.02
ResNet18_noaug,noise_low,0.12197530864197531,0.041365961116691594
ResNet18_noaug,noise_high,0.1111111111111111,0.02
ResNet18_noaug,downsample_2x,0.5348148148148149,0.489333666280814
ResNet18_noaug,downsample_4x,0.1385185185185185,0.047852895952135335
RandomForest_hog_color_texture_upscaled,clean,0.8491358024691358,0.8390964632433592
XGBoost_hog_color_texture_upscaled,clean,0.9076543209876543,0.9032566306054368
RandomForest_hog_color_texture_upscaled,blur_low,0.705679012345679,0.6927897767969042
XGBoost_hog_color_texture_upscaled,blur_low,0.779753086419753,0.7771174718614983
RandomForest_hog_color_texture_upscaled,blur_high,0.33555555555555555,0.23975365563970102
XGBoost_hog_color_texture_upscaled,blur_high,0.3523456790123457,0.28695325399878685
RandomForest_hog_color_texture_upscaled,noise_low,0.19358024691358025,0.10212546031509492
XGBoost_hog_color_texture_upscaled,noise_low,0.1637037037037037,0.09704301211101043
RandomForest_hog_color_texture_upscaled,noise_high,0.1111111111111111,0.02
XGBoost_hog_color_texture_upscaled,noise_high,0.1111111111111111,0.02
RandomForest_hog_color_texture_upscaled,downsample_2x,0.745679012345679,0.7369627796411568
XGBoost_hog_color_texture_upscaled,downsample_2x,0.8175308641975308,0.8151109998920978
RandomForest_hog_color_texture_upscaled,downsample_4x,0.52,0.4607241870611145
XGBoost_hog_color_texture_upscaled,downsample_4x,0.5422222222222223,0.49497887764304166
